1,9.0,0.021,-11.0,0.05
2,10.08,36066.2309,-7.0,0.05
3,6.12,502453.3157,-6.0,0.04
4,8.84,146.8995,-8.0,0.04
5,9.68,2.682,-10.0,0.04
6,8.6,421.5531,-7.0,0.03
7,10.32,56465.5869,-6.0,0.05
8,8.08,33914.6393,-7.0,0.07
9,9.44,389.7913,-6.0,0.07
10,9.6,2850.2488,-8.0,0.04
11,10.52,23787.9551,-5.0,0.05
12,10.36,0.3462,-3.0,0.04
13,7.08,169232.2202,-9.0,0.04
14,7.92,364528.6187,-5.0,0.04
15,9.68,5367.8674,-4.0,0.04
16,7.76,388.4317,-6.0,0.04
17,8.8,57612.0235,-5.0,0.04
18,7.52,1068694.6892,-8.0,0.03
19,8.48,17.5918,-8.0,0.04
20,9.12,0.6085,-12.0,0.05
21,9.96,169484.7615,-11.0,0.05
22,8.76,0.7937,-7.0,0.04
23,10.04,237879.1837,-3.0,0.03
24,7.12,147.2151,-7.0,0.03
25,8.8,34964.3152,-3.0,0.03
26,7.64,1.3684,-9.0,0.04
27,10.4,2692.7168,-10.0,0.04
28,7.68,71366.0379,-1.0,0.03
29,10.84,360174.5152,-5.0,0.03
30,8.48,115668.6461,-5.0,0.03
31,8.44,709156.0701,-8.0,0.04
32,8.64,380.0453,-11.0,0.03
33,10.04,69136.1356,-6.0,0.05
34,9.04,7.7571,-7.0,0.05
35,11.2,65946.9234,-9.0,0.03
36,8.36,2.0769,-7.0,0.04
37,5.88,72058.9886,3.0,0.04
38,7.96,1793002.5226,-5.0,0.03
39,8.84,622.9719,-5.0,0.06
40,9.48,359945.6128,-3.0,0.03
41,6.52,118940.8635,-11.0,0.04
42,6.76,6.7886,1.0,0.03
43,8.36,0.174,-9.0,0.05
44,6.6,361090.7674,-4.0,0.03
45,8.12,352337.6297,-4.0,0.03
46,11.28,0.6362,-5.0,0.04
47,6.52,1.0229,-3.0,0.07
48,10.56,2710.6005,-11.0,0.05
49,8.48,6.7063,-6.0,0.03
50,8.48,2704.538,-4.0,0.03
51,7.12,0.1411,-7.0,0.03
52,8.12,1.4945,-7.0,0.04
53,8.12,78923.0404,-3.0,0.03
54,8.48,359883.036,-4.0,0.03
55,9.08,35.2256,-10.0,0.06
56,9.0,170347.9385,-8.0,0.04
57,8.12,794.825,-5.0,0.04
58,10.84,120.4944,-7.0,0.04
59,6.8,624.7758,-11.0,0.05
60,6.56,0.0825,2.0,0.05
61,6.52,0.2398,2.0,0.11
62,6.32,0.8482,-1.0,0.04
63,7.88,1064838.7247,-5.0,0.06
64,7.68,393027.5894,-3.0,0.04
65,8.88,5747.9418,-5.0,0.05
66,9.24,392404.7167,-5.0,0.04
67,7.44,1071914.0977,-5.0,0.06
68,8.96,719910.4326,-7.0,0.07
69,7.56,855205.5005,-3.0,0.05
70,9.96,0.244,-6.0,0.04
71,9.88,760.3697,-2.0,0.03
72,8.16,1285.4862,-11.0,0.03
73,9.28,4871.136,-3.0,0.03
74,7.76,8.3734,-7.0,0.05
75,8.16,0.3233,-8.0,0.03
76,9.4,761.4482,-2.0,0.03
77,7.48,118940.8096,-4.0,0.04
78,8.68,69114.1465,-7.0,0.03
79,8.88,4862.189,-8.0,0.03
80,10.8,8057.8384,-9.0,0.03
81,8.8,399.0972,-7.0,0.05
82,6.48,385.8425,-8.0,0.05
83,7.64,191377.8212,-5.0,0.04
84,9.08,169454.4678,2.0,0.02
85,10.56,428628.5384,-14.0,0.03
86,7.36,352336.283,-2.0,0.03
87,8.24,357207.3794,-6.0,0.03
88,10.76,56465.7934,0.0,0.03
89,9.28,229837.5124,-8.0,0.04
90,8.84,133327.4602,-10.0,0.04
91,9.64,15.6119,2.0,0.04
92,7.16,382.7619,-2.0,0.04
93,6.04,913.7253,-5.0,0.03
94,7.08,1627314.1428,-5.0,0.04
95,7.84,379.89,1.0,0.06
96,9.92,4.2952,-3.0,0.03
97,10.04,187046.6384,-6.0,0.05
98,10.36,0.3365,0.0,0.03
99,12.8,75004.5287,-10.0,0.05
100,8.24,147.228,-3.0,0.05
101,8.92,169445.7893,-3.0,0.03
102,8.84,24925.5869,1.0,0.05
103,7.96,352339.1101,0.0,0.04
104,6.96,122818.0774,-12.0,0.04
105,8.4,2.8392,-2.0,0.02
106,11.6,118939.665,-7.0,0.04
107,7.6,0.051,4.0,0.04
108,7.12,5000.8376,-12.0,0.05
109,5.12,0.0348,8.0,0.09
110,8.04,1.01,-4.0,0.04
111,6.36,2.3852,12.0,0.06
112,7.8,174994.7162,-2.0,0.03
113,6.0,78.6963,-4.0,0.06
114,4.88,33880.1014,1.0,0.05
115,11.96,106.0034,-8.0,0.03
116,7.08,0.343,3.0,0.04
117,6.2,3441.4214,-6.0,0.03
118,10.52,0.07,-9.0,0.05
119,6.92,335728.5836,-1.0,0.04
120,6.6,20.545,2.0,0.03
121,8.6,406015.459,-4.0,0.03
122,6.56,359888.4402,-9.0,0.03
123,8.56,692406.8888,-1.0,0.03
124,7.0,359885.0728,-2.0,0.06
125,9.44,3.5016,-6.0,0.04
126,6.6,704672.621,-1.0,0.06
127,10.68,359845.2768,-2.0,0.05
128,9.12,360086.2771,-5.0,0.05
129,9.32,172196.3526,1.0,0.05
130,6.92,2.0683,-5.0,0.02
131,5.28,20.7854,-6.0,0.05
132,7.92,71938.9312,-3.0,0.03
133,9.08,966.4722,3.0,0.04
134,5.56,1139313.5542,-2.0,0.03
135,11.88,56476.1019,-8.0,0.04
136,7.88,359987.78,-6.0,0.03
137,8.6,0.5352,-3.0,0.03
138,11.04,7.7502,-6.0,0.03
139,8.28,362438.3646,1.0,0.05
140,6.96,153894.6996,0.0,0.04
141,11.52,0.6745,-4.0,0.02
142,9.52,21.3176,-2.0,0.03
143,12.04,59166.0985,-5.0,0.04
144,7.52,1288.4701,-3.0,0.03
145,7.76,144.6191,-1.0,0.02
146,8.08,120020.3333,2.0,0.04
147,6.92,359849.8322,-5.0,0.03
148,8.72,1293.8775,-5.0,0.04
149,6.92,357199.8399,1.0,0.06
150,7.28,338910.4483,-1.0,0.04
151,6.84,14.1121,3.0,0.04
152,10.44,1.2285,-1.0,0.03
153,8.56,7.4729,0.0,0.04
154,5.92,423966.0563,5.0,0.05
155,9.12,25079.9789,4.0,0.05
156,9.96,114749.3275,2.0,0.07
157,7.44,1010.9045,8.0,0.07
158,7.28,344314.5735,2.0,0.04
159,6.72,33879.2052,8.0,0.08
160,4.24,112930.6086,6.0,0.06
161,5.88,33879.7416,-1.0,0.05
162,4.96,356846.1557,7.0,0.06
163,6.96,33880.8727,5.0,0.06
164,6.52,379.93,10.0,0.06
165,5.16,1.5288,-8.0,0.06
166,8.4,3.7174,0.0,0.04
167,9.28,2683.835,-11.0,0.05
168,7.44,362735.5833,-5.0,0.05
169,7.8,360166.6099,-4.0,0.04
170,5.16,421.4404,6.0,0.06
171,7.56,70122.2746,-6.0,0.04
172,7.64,9709.6782,3.0,0.05
173,8.76,166313.3563,-7.0,0.04
174,4.4,362865.8655,0.0,0.04
175,10.96,352337.2439,-2.0,0.03
176,8.8,104322.0626,7.0,0.06
177,9.56,4.7542,-5.0,0.04
178,6.72,0.9512,-12.0,0.03
179,8.84,120013.7805,5.0,0.06
180,6.72,0.3998,-2.0,0.07
181,10.44,2.7279,-6.0,0.03
182,6.6,359703.377,0.0,0.03
183,9.04,2723.2912,8.0,0.05
184,5.88,71.04,-7.0,0.03
185,8.6,145.5014,1.0,0.06
186,6.84,3.2335,3.0,0.08
187,6.6,362401.1464,5.0,0.04
188,11.36,261669.7788,-7.0,0.03
189,7.76,390770.6446,7.0,0.06
190,6.92,0.4138,3.0,0.05
191,10.24,121.0196,-4.0,0.04
192,7.68,790762.8597,0.0,0.04
193,5.2,33880.1404,8.0,0.1
194,4.28,22.3448,5.0,0.08
195,9.0,65954.1243,-4.0,0.05
196,7.92,1.2793,-5.0,0.05
197,6.68,307806.2506,4.0,0.04
198,9.0,335727.1952,-3.0,0.03
199,7.04,21.584,1.0,0.03
200,9.28,559.9001,-1.0,0.03
201,10.84,4.2375,-15.0,0.03
202,7.48,889149.0706,-5.0,0.04
203,4.92,67759.189,-5.0,0.04
